t_min,cgm_true,cgm_twin,cgm_true_cf,cgm_twin_cf
609.0,128.76736155243776,121.79177526428116,120.55616511406856,112.38528428586649
612.0,126.08689712237262,121.17854924592653,117.8282737624885,111.81106611704618
615.0,123.67419162936243,120.57625819804079,115.37146124760213,111.24943366316644
618.0,121.77977496324772,119.9841873643774,113.43607101723867,110.69958293632837
621.0,120.6538611732771,119.40163995393972,112.27214369579002,110.16073369759638
624.0,120.54632751655706,118.82793732048383,112.12939613802837,109.63212914813619
627.0,121.66222262551273,118.26241883172275,113.21272957179538,109.11303531429466
630.0,123.93935543175982,117.70444174289878,115.45981847195644,108.6027404845243
633.0,126.91486866078412,117.15338105570365,118.40768397721925,108.1005546719258
636.0,130.0366664904426,116.6086293497282,121.504121433193,107.60580908355637
639.0,132.75243862047364,116.06959659156739,124.19672429403664,107.11785559883634
642.0,134.55584194634113,115.53570992600163,125.97906555819904,106.63606625895065
645.0,135.21714321153507,115.00641345301395,126.62134009414854,106.15983276869044
648.0,134.92163674026898,114.4811679938016,126.30878194203099,105.688566011778
651.0,133.94692453593626,113.95945084842421,125.3189438651726,105.22169558036907
654.0,132.57075685622127,113.44075554727885,123.92953725717709,104.75866931913615
657.0,131.05563026548487,112.92459159821017,122.40302940735344,104.29895288409591
660.0,129.57153603025415,112.41048423073546,120.9093909997944,103.84202931614887
663.0,128.14961436026468,111.89797413858626,119.4797493647482,103.38739862914105
666.0,126.79038977615298,111.38661722153431,118.11462278498934,102.93457741213368
669.0,125.49469765513412,110.8759843272685,116.81484593385406,102.48309844546601
672.0,124.27993405557984,110.36566099392559,115.59781857305664,102.03251033012496
675.0,123.26130676839935,109.85524729357115,114.57875548545726,101.58237723924594
678.0,122.70057465794144,109.34435738619015,114.01942473124515,101.13227836445361
681.0,122.89225737669088,108.8326193354276,114.2143563347627,100.68180765534724
684.0,124.13110414834978,108.3196748814817,115.45831011582735,100.23057352275875
687.0,126.65496590214724,107.80517919047023,117.98914696345108,99.77819852473274
690.0,130.35926770494837,107.28880060659704,121.70230050919554,99.32431906287653
693.0,134.6256811632162,106.77022040665926,125.97944887860024,98.86858508800864
696.0,138.72179579779325,106.24913255679968,130.08818552607323,98.41065981444711
699.0,141.9152932064938,105.72524347148938,133.29619296717686,97.9502194423999
702.0,143.54933417929254,105.19827177414776,134.94662956911125,97.48695288732509
705.0,143.41958991866522,104.66919721843202,134.83516054564976,97.02056151622088
708.0,142.00045469770566,104.2106339730841,133.43617048111832,96.55075889015276
711.0,139.91715627643424,103.83616676471381,131.37487369462474,96.07727051252597
714.0,137.79492089835938,103.51563894623796,129.27647925671104,95.59983358263788
717.0,136.21152675479274,103.23473760231994,127.71874453578496,95.11819675093894
720.0,135.46012100616312,102.98627168800768,126.99479235352625,94.65197793887653
723.0,135.40604980590166,103.17001552684773,126.96994118678447,94.6809929171184
726.0,135.81768826313518,104.95041987924719,127.41253501454912,96.31428040271581
729.0,136.46768141446296,107.79155160194996,128.0951659884663,98.9695662887933
732.0,137.14184482849925,111.02382636017812,128.80346214741172,101.95528785624083
735.0,137.6341520236254,114.19799877899197,129.33086464573756,104.85753203168618
